time_ns,n,algo,dist,comparisons,moves,reads,writes,allocs,notes
15867209,100,selectionsort,random,9900,279,5235,186,1,trial=1
374083,100,selectionsort,random,9894,279,5230,186,1,trial=2
360333,100,selectionsort,random,9894,279,5230,186,1,trial=3
7693333,1000,selectionsort,random,998998,2985,502487,1990,1,trial=1
5167416,1000,selectionsort,random,999000,2988,502491,1992,1,trial=2
651083,1000,selectionsort,random,999000,2979,502485,1986,1,trial=3
50163500,10000,selectionsort,random,99990000,29976,50024983,19984,1,trial=1
21599334,10000,selectionsort,random,99990000,29970,50024979,19980,1,trial=2
23437875,10000,selectionsort,random,99990000,29970,50024979,19980,1,trial=3
2032955500,100000,selectionsort,random,9999900000,299976,5000249983,199984,1,trial=1
2012021125,100000,selectionsort,random,9999899988,299967,5000249968,199978,1,trial=2
2003568791,100000,selectionsort,random,9999899998,299958,5000249969,199972,1,trial=3
39583,100,selectionsort,sorted,198,0,100,0,1,trial=1
29791,100,selectionsort,sorted,198,0,100,0,1,trial=2
28459,100,selectionsort,sorted,198,0,100,0,1,trial=3
29417,1000,selectionsort,sorted,1998,0,1000,0,1,trial=1
79250,1000,selectionsort,sorted,1998,0,1000,0,1,trial=2
29750,1000,selectionsort,sorted,1998,0,1000,0,1,trial=3
35750,10000,selectionsort,sorted,19998,0,10000,0,1,trial=1
31042,10000,selectionsort,sorted,19998,0,10000,0,1,trial=2
29708,10000,selectionsort,sorted,19998,0,10000,0,1,trial=3
84000,100000,selectionsort,sorted,199998,0,100000,0,1,trial=1
86083,100000,selectionsort,sorted,199998,0,100000,0,1,trial=2
72792,100000,selectionsort,sorted,199998,0,100000,0,1,trial=3
34625,100,selectionsort,reversed,9858,156,5126,104,1,trial=1
29959,100,selectionsort,reversed,9660,159,5020,106,1,trial=2
49625,100,selectionsort,reversed,7548,150,3925,100,1,trial=3
352167,1000,selectionsort,reversed,996838,1575,500422,1050,1,trial=1
345583,1000,selectionsort,reversed,998188,1560,501105,1040,1,trial=2
353375,1000,selectionsort,reversed,998658,1572,501358,1048,1,trial=3
30660875,10000,selectionsort,reversed,99989658,15675,50015260,10450,1,trial=1
30948083,10000,selectionsort,reversed,99989998,15669,50015443,10446,1,trial=2
30904458,10000,selectionsort,reversed,99985710,15648,50013221,10432,1,trial=3
3255175041,100000,selectionsort,reversed,9999899298,156795,5000154152,104530,1,trial=1
3265472583,100000,selectionsort,reversed,9999899818,156729,5000154381,104486,1,trial=2
3285840000,100000,selectionsort,reversed,9999899694,156723,5000154311,104482,1,trial=3
44417,100,selectionsort,nearly,9558,15,4870,10,1,trial=1
25958,100,selectionsort,nearly,9030,18,4597,12,1,trial=2
19958,100,selectionsort,nearly,6594,15,3349,10,1,trial=3
250958,1000,selectionsort,nearly,996744,162,499432,108,1,trial=1
219334,1000,selectionsort,nearly,981444,156,491693,104,1,trial=2
231667,1000,selectionsort,nearly,990628,159,496328,106,1,trial=3
19942833,10000,selectionsort,nearly,99862194,1560,49941779,1040,1,trial=1
19904459,10000,selectionsort,nearly,99806388,1569,49913811,1046,1,trial=2
20109459,10000,selectionsort,nearly,99920040,1584,49970811,1056,1,trial=3
2000628625,100000,selectionsort,nearly,9999036030,15657,4999627523,10438,1,trial=1
2007808250,100000,selectionsort,nearly,9998948400,15678,4999583676,10452,1,trial=2
1999751000,100000,selectionsort,nearly,9999836244,15678,5000028321,10452,1,trial=3
